card_id,acc_id,card_type,status
670,254,Credit,Expired
671,249,Debit,Blocked
672,579,Credit,Blocked
673,675,Debit,Active
674,124,Debit,Active
675,432,Debit,Expired
676,629,Credit,Expired
677,722,Debit,Blocked
678,266,Credit,Active
679,20,Debit,Blocked
680,310,Debit,Active
681,517,Credit,Expired
682,126,Debit,Blocked
683,336,Credit,Active
684,498,Credit,Active
685,301,Debit,Blocked
686,318,Credit,Active
687,217,Credit,Active
688,546,Credit,Blocked
689,787,Credit,Active
690,155,Debit,Expired
691,276,Debit,Blocked
692,474,Credit,Active
693,472,Credit,Expired
694,712,Credit,Blocked
695,32,Debit,Active
696,290,Debit,Blocked
697,478,Debit,Expired
698,56,Credit,Blocked
699,633,Credit,Blocked
700,175,Debit,Expired
701,501,Debit,Expired
702,359,Credit,Expired
703,97,Debit,Blocked
704,202,Debit,Active
705,569,Debit,Expired
706,409,Debit,Expired
707,157,Debit,Expired
708,577,Credit,Expired
709,449,Credit,Blocked
710,773,Debit,Blocked
711,596,Credit,Blocked
712,561,Credit,Blocked
713,336,Credit,Blocked
714,753,Debit,Expired
715,347,Debit,Active
716,89,Credit,Blocked
717,626,Credit,Active
718,423,Credit,Blocked
719,548,Credit,Expired
720,558,Debit,Expired
721,576,Debit,Blocked
722,48,Debit,Expired
723,699,Credit,Expired
724,304,Debit,Blocked
725,571,Debit,Expired
726,362,Debit,Expired
727,365,Credit,Blocked
728,786,Debit,Blocked
729,104,Debit,Blocked
730,265,Credit,Active
731,188,Credit,Expired
732,747,Debit,Blocked
733,397,Debit,Active
734,257,Debit,Blocked
735,174,Credit,Blocked
736,220,Debit,Blocked
737,566,Credit,Active
738,78,Credit,Blocked
739,317,Credit,Active
740,464,Debit,Blocked
741,433,Debit,Expired
742,405,Credit,Active
743,507,Debit,Blocked
744,694,Credit,Blocked
745,288,Credit,Blocked
746,379,Debit,Expired
747,329,Credit,Blocked
748,799,Debit,Active
749,647,Credit,Active
750,446,Debit,Expired
751,306,Credit,Blocked
752,36,Credit,Blocked
753,600,Debit,Blocked
754,133,Credit,Blocked
755,740,Credit,Active
756,495,Credit,Blocked
757,669,Credit,Blocked
758,346,Debit,Expired
759,758,Debit,Blocked
760,150,Credit,Blocked
761,743,Debit,Blocked
762,631,Credit,Active
763,186,Credit,Active
764,68,Debit,Expired
765,495,Credit,Active
766,584,Credit,Active
767,212,Credit,Active
768,189,Debit,Expired
769,72,Debit,Blocked
770,491,Credit,Active
771,705,Credit,Active
772,210,Debit,Expired
773,246,Debit,Expired
774,310,Debit,Blocked
775,615,Credit,Blocked
776,627,Credit,Active
777,279,Debit,Blocked
778,311,Debit,Active
779,744,Credit,Blocked
780,644,Debit,Blocked
781,670,Credit,Expired
782,704,Debit,Active
783,251,Debit,Active
784,453,Credit,Blocked
785,755,Debit,Expired
786,329,Debit,Expired
787,742,Debit,Active
788,402,Debit,Expired
789,168,Debit,Blocked
790,624,Debit,Expired
791,50,Debit,Active
792,561,Debit,Expired
793,97,Credit,Active
794,348,Credit,Blocked
795,695,Credit,Blocked
796,608,Credit,Expired
797,518,Credit,Active
798,601,Credit,Expired
799,355,Credit,Blocked
800,575,Debit,Active
