device_id,cust_id,device_name
269,208,Laptop
270,14,Desktop
271,250,Tablet
272,248,Desktop
273,410,Desktop
274,11,Mobile
275,308,Desktop
276,331,Desktop
277,458,Laptop
278,196,Tablet
279,274,Desktop
280,314,Tablet
281,184,Tablet
282,360,Tablet
283,126,Mobile
284,210,Mobile
285,127,Tablet
286,179,Laptop
287,186,Desktop
288,5,Desktop
289,482,Tablet
290,373,Laptop
291,492,Desktop
292,179,Desktop
293,295,Desktop
294,421,Laptop
295,19,Tablet
296,35,Laptop
297,129,Tablet
298,365,Desktop
299,56,Desktop
300,179,Laptop
301,193,Desktop
302,118,Tablet
303,222,Mobile
304,63,Mobile
305,424,Mobile
306,172,Laptop
307,285,Tablet
308,484,Tablet
309,404,Laptop
310,387,Tablet
311,490,Laptop
312,329,Tablet
313,299,Mobile
314,395,Tablet
315,439,Tablet
316,15,Mobile
317,303,Laptop
318,25,Tablet
319,486,Laptop
320,269,Desktop
321,487,Laptop
322,496,Mobile
323,236,Laptop
324,286,Desktop
325,339,Desktop
326,464,Desktop
327,110,Tablet
328,414,Mobile
329,23,Desktop
330,489,Mobile
331,127,Desktop
332,372,Desktop
333,216,Mobile
334,491,Desktop
335,101,Desktop
336,453,Tablet
337,355,Laptop
338,484,Desktop
339,147,Desktop
340,411,Desktop
341,263,Laptop
342,246,Laptop
343,170,Desktop
344,233,Desktop
345,461,Tablet
346,35,Tablet
347,137,Desktop
348,69,Desktop
349,321,Mobile
350,59,Desktop
351,289,Mobile
352,412,Laptop
353,15,Laptop
354,341,Laptop
355,407,Desktop
356,438,Desktop
357,498,Mobile
358,137,Laptop
359,358,Tablet
360,496,Laptop
361,88,Laptop
362,127,Desktop
363,139,Laptop
364,33,Desktop
365,16,Mobile
366,170,Laptop
367,84,Desktop
368,473,Tablet
369,73,Mobile
370,20,Tablet
371,165,Tablet
372,146,Mobile
373,28,Tablet
374,29,Laptop
375,50,Desktop
376,317,Laptop
377,405,Mobile
378,351,Desktop
379,61,Desktop
380,378,Desktop
381,305,Mobile
382,397,Mobile
383,137,Tablet
384,242,Tablet
385,379,Mobile
386,382,Desktop
387,250,Tablet
388,158,Desktop
389,180,Laptop
390,421,Laptop
391,359,Laptop
392,195,Mobile
393,260,Tablet
394,161,Tablet
395,287,Laptop
396,209,Laptop
397,198,Tablet
398,372,Tablet
399,369,Laptop
400,218,Tablet
401,75,Tablet
402,153,Desktop
403,154,Tablet
404,232,Tablet
405,64,Tablet
406,184,Desktop
407,268,Mobile
408,156,Laptop
409,471,Desktop
410,72,Tablet
411,9,Tablet
412,344,Laptop
413,200,Laptop
414,198,Laptop
415,272,Mobile
416,479,Tablet
417,30,Laptop
418,355,Mobile
419,222,Tablet
420,261,Mobile
421,417,Tablet
422,428,Desktop
423,333,Desktop
424,485,Tablet
425,408,Laptop
426,400,Tablet
427,79,Desktop
428,102,Desktop
429,79,Mobile
430,21,Desktop
431,115,Mobile
432,379,Mobile
433,162,Laptop
434,40,Laptop
435,88,Desktop
436,237,Mobile
437,5,Tablet
438,480,Tablet
439,446,Mobile
440,6,Tablet
441,5,Desktop
442,466,Mobile
443,448,Mobile
444,296,Laptop
445,454,Mobile
446,486,Tablet
447,261,Tablet
448,166,Mobile
449,403,Desktop
450,3,Laptop
451,262,Desktop
452,149,Desktop
453,314,Desktop
454,216,Desktop
455,110,Laptop
456,448,Desktop
457,8,Mobile
458,113,Mobile
459,250,Mobile
460,223,Tablet
461,310,Tablet
462,180,Mobile
463,2,Desktop
464,32,Desktop
465,260,Tablet
466,251,Laptop
467,478,Desktop
468,69,Tablet
469,388,Desktop
470,352,Tablet
471,186,Desktop
472,328,Mobile
473,462,Mobile
474,404,Tablet
475,21,Tablet
476,243,Desktop
477,380,Desktop
478,372,Laptop
479,315,Tablet
480,256,Desktop
481,443,Laptop
482,394,Laptop
483,339,Tablet
484,315,Mobile
485,329,Desktop
486,79,Laptop
487,146,Mobile
488,318,Mobile
489,479,Desktop
490,129,Desktop
491,142,Mobile
492,112,Mobile
493,139,Tablet
494,401,Mobile
495,128,Tablet
496,421,Laptop
497,257,Tablet
498,456,Mobile
499,447,Laptop
500,24,Tablet
501,426,Tablet
502,56,Mobile
503,289,Mobile
504,205,Laptop
505,70,Laptop
506,416,Laptop
507,339,Mobile
508,399,Mobile
509,275,Mobile
510,290,Tablet
511,123,Desktop
512,108,Desktop
513,23,Desktop
514,203,Mobile
515,4,Desktop
516,19,Tablet
517,105,Desktop
518,153,Desktop
519,28,Desktop
520,63,Desktop
521,295,Desktop
522,408,Laptop
523,182,Laptop
524,466,Laptop
525,191,Laptop
526,84,Laptop
527,211,Laptop
528,350,Laptop
529,333,Tablet
530,162,Laptop
531,412,Mobile
532,337,Mobile
533,141,Mobile
534,363,Laptop
535,33,Laptop
536,59,Mobile
537,150,Laptop
538,138,Tablet
539,303,Mobile
540,376,Mobile
541,266,Desktop
542,85,Mobile
543,346,Tablet
544,215,Mobile
545,295,Mobile
546,331,Laptop
547,426,Mobile
548,266,Tablet
549,420,Desktop
550,472,Laptop
551,403,Mobile
552,460,Tablet
553,189,Laptop
554,294,Mobile
555,359,Mobile
556,318,Desktop
557,174,Tablet
558,21,Mobile
559,273,Laptop
560,275,Tablet
561,443,Tablet
562,280,Mobile
563,266,Desktop
564,37,Mobile
565,455,Laptop
566,443,Tablet
567,6,Desktop
568,144,Mobile
569,219,Desktop
570,184,Tablet
571,130,Laptop
572,478,Desktop
573,224,Laptop
574,56,Mobile
575,355,Laptop
576,362,Desktop
577,226,Laptop
578,96,Mobile
579,480,Desktop
580,64,Laptop
581,201,Tablet
582,109,Laptop
583,76,Desktop
584,300,Desktop
585,92,Desktop
586,448,Desktop
587,26,Desktop
588,106,Desktop
589,24,Laptop
590,420,Tablet
591,318,Mobile
592,150,Desktop
593,55,Laptop
594,70,Laptop
595,394,Tablet
596,253,Mobile
597,294,Tablet
598,140,Tablet
599,188,Desktop
600,467,Desktop
601,448,Desktop
602,325,Mobile
603,79,Laptop
604,155,Tablet
605,311,Tablet
606,292,Mobile
607,114,Tablet
608,355,Desktop
609,486,Mobile
610,296,Tablet
611,226,Tablet
612,427,Tablet
613,70,Desktop
614,32,Mobile
615,358,Tablet
616,113,Mobile
617,159,Mobile
618,23,Mobile
619,60,Tablet
620,293,Mobile
621,78,Tablet
622,269,Mobile
623,86,Laptop
624,357,Desktop
625,186,Laptop
626,386,Laptop
627,66,Mobile
628,116,Desktop
629,403,Desktop
630,240,Tablet
631,336,Tablet
632,285,Mobile
633,108,Tablet
634,187,Desktop
635,162,Mobile
636,252,Desktop
637,291,Desktop
638,409,Laptop
639,156,Laptop
640,127,Tablet
641,478,Laptop
642,101,Tablet
643,208,Desktop
644,266,Mobile
645,433,Mobile
646,70,Desktop
647,295,Mobile
648,44,Desktop
649,93,Mobile
650,309,Mobile
651,168,Mobile
652,152,Mobile
653,104,Desktop
654,238,Desktop
655,105,Desktop
656,464,Tablet
657,383,Mobile
658,56,Tablet
659,405,Laptop
660,396,Laptop
661,238,Mobile
662,91,Desktop
663,451,Mobile
664,396,Mobile
665,286,Desktop
666,142,Tablet
667,237,Laptop
668,137,Mobile
669,277,Desktop
670,3,Desktop
671,136,Laptop
672,352,Mobile
673,46,Mobile
674,156,Tablet
675,313,Mobile
676,307,Laptop
677,476,Desktop
678,459,Tablet
679,406,Desktop
680,367,Laptop
681,218,Desktop
682,309,Tablet
683,192,Tablet
684,265,Tablet
685,285,Laptop
686,398,Tablet
687,178,Mobile
688,261,Mobile
689,42,Desktop
690,65,Desktop
691,254,Desktop
692,77,Desktop
693,289,Tablet
694,202,Tablet
695,137,Desktop
696,381,Desktop
697,237,Laptop
698,287,Desktop
699,416,Tablet
700,15,Desktop
