loan_id,cust_id,loan_amt,status
227,484,564202,Closed
228,303,540666,Active
229,439,166153,Active
230,268,600917,Closed
231,162,972250,Active
232,71,383914,Closed
233,420,681368,Pending
234,362,891588,Active
235,191,659673,Active
236,293,491779,Pending
237,206,5680,Pending
238,375,889236,Closed
239,367,517589,Closed
240,146,770940,Active
241,434,496870,Active
242,326,453413,Closed
243,255,170961,Active
244,470,71322,Pending
245,121,248755,Active
246,119,204680,Active
247,359,4870,Active
248,193,648488,Pending
249,448,545894,Closed
250,153,660649,Active
251,206,204605,Pending
252,239,895549,Closed
253,37,697935,Active
254,430,316815,Closed
255,336,511600,Closed
256,129,409469,Active
257,139,419248,Closed
258,376,526366,Closed
259,442,295419,Pending
260,72,380255,Closed
261,176,350065,Active
262,305,952482,Closed
263,18,147422,Pending
264,10,24191,Active
265,298,39922,Closed
266,67,665853,Active
267,424,47843,Active
268,42,759462,Closed
269,326,674779,Pending
270,219,932181,Pending
271,467,882264,Active
272,98,620918,Pending
273,89,262842,Pending
274,38,13462,Pending
275,485,146714,Active
276,112,10914,Pending
277,148,196536,Pending
278,386,850785,Closed
279,174,284882,Closed
280,260,471290,Closed
281,195,922760,Active
282,186,806368,Closed
283,448,735649,Active
284,18,319923,Active
285,468,53385,Pending
286,404,3353,Pending
287,446,828719,Active
288,216,384839,Closed
289,15,47610,Closed
290,34,413194,Closed
291,5,670796,Active
292,313,980156,Pending
293,59,82562,Pending
294,453,268380,Active
295,406,662424,Closed
296,97,102755,Active
297,252,124610,Active
298,324,477319,Closed
299,140,930711,Closed
300,6,482327,Active
