fraud_id,txn_id,fraud_type,status
83,247,Phishing,Under Investigation
84,84,Phishing,Resolved
85,891,Phishing,Under Investigation
86,62,Card Fraud,Open
87,565,Card Fraud,Open
88,978,UPI Fraud,Under Investigation
89,38,UPI Fraud,Open
90,35,Card Fraud,Open
91,772,UPI Fraud,Open
92,329,Identity Theft,Resolved
93,640,UPI Fraud,Resolved
94,645,Card Fraud,Resolved
95,665,Card Fraud,Open
96,838,UPI Fraud,Under Investigation
97,568,Suspicious Transfer,Under Investigation
98,6,Phishing,Resolved
99,915,UPI Fraud,Resolved
100,198,Suspicious Transfer,Under Investigation
101,932,UPI Fraud,Under Investigation
102,207,Suspicious Transfer,Open
103,300,Identity Theft,Open
104,533,Suspicious Transfer,Resolved
105,595,Suspicious Transfer,Resolved
106,487,Card Fraud,Open
107,442,Suspicious Transfer,Resolved
108,105,Card Fraud,Resolved
109,114,Card Fraud,Resolved
110,793,Suspicious Transfer,Resolved
111,442,Identity Theft,Under Investigation
112,516,Suspicious Transfer,Open
113,63,Suspicious Transfer,Under Investigation
114,334,Identity Theft,Resolved
115,754,Phishing,Resolved
116,764,UPI Fraud,Open
117,514,Phishing,Resolved
118,982,Phishing,Resolved
119,745,UPI Fraud,Resolved
120,833,Card Fraud,Resolved
121,511,Phishing,Under Investigation
122,565,Phishing,Open
123,976,UPI Fraud,Resolved
124,217,Identity Theft,Open
125,56,UPI Fraud,Under Investigation
126,24,Card Fraud,Resolved
127,38,Card Fraud,Resolved
128,773,UPI Fraud,Resolved
129,405,UPI Fraud,Resolved
130,705,Identity Theft,Open
131,420,UPI Fraud,Resolved
132,22,Card Fraud,Open
133,54,Identity Theft,Open
134,567,Identity Theft,Open
135,348,UPI Fraud,Under Investigation
136,189,Phishing,Resolved
137,589,Card Fraud,Open
138,703,Phishing,Under Investigation
139,159,UPI Fraud,Open
140,893,Identity Theft,Resolved
141,818,Suspicious Transfer,Under Investigation
142,32,Suspicious Transfer,Open
143,513,Suspicious Transfer,Resolved
144,803,Card Fraud,Resolved
145,892,Identity Theft,Under Investigation
146,311,UPI Fraud,Resolved
147,107,Identity Theft,Under Investigation
148,344,Identity Theft,Resolved
149,540,Card Fraud,Under Investigation
150,403,Card Fraud,Resolved
151,227,Phishing,Resolved
152,440,Card Fraud,Under Investigation
153,266,UPI Fraud,Resolved
154,650,Card Fraud,Under Investigation
155,202,UPI Fraud,Under Investigation
156,227,Suspicious Transfer,Open
157,194,Identity Theft,Open
158,806,Card Fraud,Open
159,614,Card Fraud,Resolved
160,495,Identity Theft,Under Investigation
161,944,Suspicious Transfer,Resolved
162,902,Card Fraud,Open
163,711,UPI Fraud,Resolved
164,139,Suspicious Transfer,Resolved
165,939,Card Fraud,Under Investigation
166,687,Identity Theft,Open
167,675,Card Fraud,Resolved
168,465,Suspicious Transfer,Open
169,397,UPI Fraud,Under Investigation
170,942,UPI Fraud,Under Investigation
171,247,Card Fraud,Under Investigation
172,668,Identity Theft,Open
173,35,Suspicious Transfer,Resolved
174,454,Phishing,Resolved
175,444,Phishing,Under Investigation
176,404,UPI Fraud,Under Investigation
177,412,Identity Theft,Under Investigation
178,370,Card Fraud,Under Investigation
179,186,Identity Theft,Resolved
180,106,Suspicious Transfer,Resolved
181,62,Suspicious Transfer,Resolved
182,461,Identity Theft,Open
183,825,Suspicious Transfer,Under Investigation
184,43,Card Fraud,Resolved
185,809,Identity Theft,Resolved
186,898,UPI Fraud,Under Investigation
187,845,Suspicious Transfer,Open
188,79,Suspicious Transfer,Under Investigation
189,865,UPI Fraud,Open
190,407,Phishing,Under Investigation
191,418,Suspicious Transfer,Open
192,521,Suspicious Transfer,Open
193,261,Identity Theft,Resolved
194,666,Suspicious Transfer,Under Investigation
195,213,Card Fraud,Resolved
196,479,Card Fraud,Resolved
197,103,Identity Theft,Resolved
198,149,Card Fraud,Under Investigation
199,419,Phishing,Resolved
200,807,Suspicious Transfer,Open
201,424,UPI Fraud,Resolved
202,907,Suspicious Transfer,Resolved
203,247,Card Fraud,Open
204,879,Suspicious Transfer,Under Investigation
205,666,Card Fraud,Open
206,94,Card Fraud,Under Investigation
207,150,Card Fraud,Resolved
208,296,Card Fraud,Open
209,133,Card Fraud,Resolved
210,145,UPI Fraud,Open
211,648,Identity Theft,Open
212,744,Card Fraud,Under Investigation
213,849,Card Fraud,Under Investigation
214,448,UPI Fraud,Under Investigation
215,503,Suspicious Transfer,Open
216,237,Identity Theft,Resolved
217,970,UPI Fraud,Open
218,11,UPI Fraud,Resolved
219,312,Phishing,Resolved
220,177,Identity Theft,Resolved
221,448,Phishing,Under Investigation
222,896,Identity Theft,Resolved
223,713,Phishing,Under Investigation
224,660,Identity Theft,Resolved
225,492,Card Fraud,Under Investigation
226,430,Identity Theft,Open
227,881,Suspicious Transfer,Open
228,461,Card Fraud,Open
229,319,Card Fraud,Resolved
230,358,Suspicious Transfer,Open
231,251,UPI Fraud,Resolved
232,709,Card Fraud,Open
233,528,UPI Fraud,Resolved
234,345,UPI Fraud,Under Investigation
235,216,Identity Theft,Resolved
236,539,Suspicious Transfer,Open
237,17,UPI Fraud,Resolved
238,525,Suspicious Transfer,Open
239,428,Card Fraud,Resolved
240,471,Suspicious Transfer,Under Investigation
241,249,UPI Fraud,Under Investigation
242,919,Identity Theft,Open
243,624,Identity Theft,Under Investigation
244,255,Card Fraud,Under Investigation
245,182,Phishing,Resolved
246,989,Identity Theft,Resolved
247,792,Card Fraud,Open
248,296,Suspicious Transfer,Open
249,76,UPI Fraud,Under Investigation
250,938,Suspicious Transfer,Under Investigation
251,327,Card Fraud,Under Investigation
252,659,Suspicious Transfer,Resolved
253,721,Identity Theft,Under Investigation
254,519,Suspicious Transfer,Under Investigation
255,508,Identity Theft,Resolved
256,485,UPI Fraud,Open
257,314,Suspicious Transfer,Under Investigation
258,153,UPI Fraud,Open
259,876,Card Fraud,Open
260,120,Identity Theft,Open
261,48,Phishing,Resolved
262,487,UPI Fraud,Resolved
263,859,Identity Theft,Resolved
264,445,Suspicious Transfer,Open
265,756,Card Fraud,Resolved
266,446,Identity Theft,Open
267,648,Card Fraud,Resolved
268,770,Card Fraud,Under Investigation
269,281,Phishing,Open
270,467,UPI Fraud,Under Investigation
271,261,Suspicious Transfer,Resolved
272,412,Identity Theft,Resolved
273,433,UPI Fraud,Resolved
274,678,Phishing,Open
275,617,UPI Fraud,Open
276,208,Identity Theft,Under Investigation
277,339,Identity Theft,Under Investigation
278,92,Phishing,Open
279,583,Phishing,Open
280,250,Card Fraud,Open
281,906,Suspicious Transfer,Resolved
282,1000,Phishing,Resolved
283,286,Phishing,Open
284,94,Identity Theft,Under Investigation
285,145,Phishing,Resolved
286,362,Phishing,Open
287,590,Card Fraud,Under Investigation
288,365,UPI Fraud,Open
289,336,Card Fraud,Open
290,822,UPI Fraud,Open
291,66,Identity Theft,Open
292,942,UPI Fraud,Open
293,664,Phishing,Under Investigation
294,563,Suspicious Transfer,Open
295,773,Identity Theft,Under Investigation
296,657,Phishing,Under Investigation
297,187,Card Fraud,Under Investigation
298,406,Phishing,Resolved
299,591,Suspicious Transfer,Under Investigation
300,597,Phishing,Under Investigation
