acc_id,cust_id,branch_id,acc_type,balance
77,250,6,Current,613944.4
78,246,19,Current,612550.31
79,229,2,Current,806057.31
80,286,6,Current,477084.71
81,252,20,Savings,685123.85
82,285,19,Savings,643575.78
83,335,4,Savings,909923.74
84,390,18,Current,313834.83
85,89,10,Savings,752774.02
86,362,14,Savings,86874.0
87,249,4,Current,187331.95
88,205,18,Current,936254.03
89,233,8,Savings,165182.55
90,281,15,Current,623031.28
91,58,16,Current,20890.02
92,287,9,Current,141389.43
93,76,4,Current,819658.83
94,254,2,Savings,258850.69
95,291,20,Savings,576732.71
96,432,1,Current,422008.05
97,131,8,Current,365701.42
98,308,14,Savings,730189.88
99,65,12,Current,571462.9
100,78,7,Current,857596.84
101,200,3,Current,78083.09
102,164,2,Savings,663523.54
103,171,11,Current,992416.86
104,429,7,Savings,392018.14
105,212,17,Current,686384.15
106,402,11,Savings,14512.3
107,452,9,Current,177364.11
108,86,18,Current,351273.99
109,420,18,Current,557676.85
110,481,10,Savings,808231.52
111,132,9,Savings,729104.32
112,385,20,Current,644654.96
113,186,18,Current,700679.94
114,141,7,Current,947574.96
115,183,14,Current,399656.9
116,272,20,Savings,167093.44
117,457,4,Current,474060.05
118,55,19,Current,430637.83
119,221,4,Current,630157.05
120,472,17,Savings,31208.27
121,406,10,Current,63040.14
122,53,13,Current,858603.76
123,495,4,Savings,240161.9
124,411,17,Current,885150.62
125,295,5,Savings,715686.48
126,467,16,Savings,73450.55
127,417,18,Current,205064.41
128,473,17,Current,465145.87
129,168,11,Current,399864.15
130,254,19,Current,766607.42
131,372,3,Current,970326.36
132,311,13,Savings,752175.99
133,226,20,Savings,153136.99
134,107,7,Savings,231574.08
135,226,19,Savings,634048.61
136,122,15,Current,336153.05
137,313,3,Current,361991.15
138,238,7,Current,406579.31
139,199,9,Current,373089.13
140,21,20,Current,446671.69
141,461,4,Current,67402.9
142,136,12,Current,801645.89
143,109,13,Current,770381.83
144,289,14,Current,94213.49
145,179,3,Savings,130506.14
146,363,10,Current,957821.22
147,132,7,Current,652744.24
148,243,18,Current,984563.42
149,112,7,Savings,463213.29
150,83,7,Savings,784778.42
151,86,19,Current,643613.6
152,330,16,Savings,433483.94
153,26,19,Savings,410896.62
154,470,16,Savings,609201.65
155,213,3,Current,383870.89
156,338,17,Savings,998791.95
157,478,16,Current,403059.13
158,446,3,Current,264380.22
159,197,7,Savings,818916.98
160,368,14,Savings,727796.94
161,307,19,Current,101332.81
162,170,9,Current,757780.38
163,405,8,Current,102338.45
164,155,2,Current,204955.03
165,344,1,Savings,113694.37
166,338,3,Current,647858.54
167,193,4,Savings,762842.86
168,358,20,Current,334971.79
169,26,16,Savings,808940.71
170,5,2,Savings,780710.89
171,420,3,Savings,543947.8
172,133,6,Current,83866.25
173,495,5,Current,648842.94
174,28,8,Savings,174701.94
175,274,16,Current,806287.92
176,92,16,Current,956420.17
177,354,6,Savings,529192.8
178,438,7,Savings,979323.13
179,306,15,Current,518945.98
180,325,4,Savings,505805.82
181,42,3,Current,917949.31
182,49,8,Savings,65576.29
183,477,13,Current,399771.71
184,345,19,Current,913805.91
185,249,2,Current,200364.06
186,183,19,Current,236001.94
187,195,11,Savings,196447.72
188,273,8,Savings,741013.91
189,285,6,Savings,402686.65
190,223,16,Current,608288.91
191,381,15,Savings,643470.82
192,388,4,Current,325646.97
193,60,5,Savings,550277.5
194,26,11,Current,615459.53
195,38,8,Savings,608417.51
196,274,13,Current,706335.93
197,225,19,Current,988003.99
198,208,4,Current,543445.08
199,311,11,Current,580354.64
200,378,1,Current,997375.2
201,480,18,Savings,225305.35
202,466,1,Current,369552.83
203,130,13,Current,600791.15
204,416,11,Current,120499.41
205,439,3,Savings,106891.32
206,227,15,Current,989410.28
207,375,7,Current,625884.54
208,218,15,Savings,199241.02
209,356,5,Savings,762012.44
210,210,9,Savings,233405.68
211,181,6,Savings,598401.3
212,103,5,Savings,500792.64
213,456,6,Savings,937899.45
214,145,15,Current,655551.02
215,420,5,Current,768850.41
216,270,5,Savings,553457.61
217,43,7,Current,155072.26
218,309,6,Savings,83452.3
219,269,2,Savings,277772.57
220,412,18,Current,830054.15
221,142,7,Savings,978848.14
222,267,12,Current,747356.39
223,404,16,Current,546328.22
224,487,19,Savings,508836.41
225,96,13,Savings,254592.29
226,97,1,Savings,297138.74
227,392,7,Current,731413.81
228,386,16,Savings,424109.59
229,179,7,Current,322934.55
230,43,11,Current,236986.75
231,153,14,Savings,413974.04
232,308,2,Savings,459615.56
233,71,11,Current,811513.07
234,250,3,Current,706507.58
235,161,18,Current,978314.45
236,471,16,Savings,929373.4
237,463,14,Current,699829.95
238,97,10,Current,685383.96
239,322,18,Savings,218510.06
240,111,14,Current,302576.81
241,303,2,Current,778878.05
242,494,3,Current,750247.53
243,17,10,Current,633201.54
244,43,11,Savings,141527.27
245,272,9,Current,247079.65
246,362,13,Savings,429387.86
247,287,9,Savings,354437.23
248,210,13,Current,514895.41
249,176,5,Current,377028.15
250,323,14,Savings,724298.08
251,37,3,Savings,416952.15
252,309,13,Savings,963274.79
253,275,19,Savings,678461.85
254,187,4,Savings,114556.0
255,229,16,Current,472151.9
256,221,8,Savings,318633.2
257,478,4,Current,256830.27
258,419,18,Current,547358.81
259,54,2,Current,440523.16
260,431,8,Savings,797861.17
261,348,6,Savings,114442.3
262,235,19,Savings,46322.27
263,353,8,Current,392069.12
264,473,17,Savings,3643.19
265,260,12,Current,533337.6
266,120,19,Savings,166353.84
267,357,15,Savings,849290.38
268,445,20,Savings,641135.21
269,127,17,Current,743167.38
270,25,19,Savings,968411.85
271,48,19,Current,929639.11
272,198,7,Current,438051.02
273,283,17,Current,54963.99
274,96,19,Savings,410804.97
275,7,4,Savings,643236.6
276,195,7,Current,70613.13
277,72,10,Current,704766.86
278,243,17,Savings,95993.21
279,38,6,Savings,144504.83
280,193,13,Current,126585.41
281,194,1,Current,587446.77
282,220,12,Savings,811358.83
283,449,4,Savings,768870.65
284,138,12,Current,818350.41
285,145,14,Current,634295.85
286,2,8,Savings,738602.45
287,404,4,Current,679028.21
288,2,9,Current,15664.78
289,48,18,Savings,819576.49
290,406,3,Savings,767378.37
291,260,6,Current,748155.89
292,109,16,Current,628548.86
293,184,2,Current,857000.31
294,318,10,Savings,567247.64
295,206,15,Savings,263893.83
296,45,19,Current,751651.82
297,454,19,Savings,769373.7
298,202,7,Current,695438.05
299,106,8,Current,656778.81
300,163,17,Savings,776187.13
301,424,18,Current,302921.81
302,396,6,Current,959911.31
303,107,20,Current,867815.47
304,289,5,Savings,6273.59
305,437,19,Savings,855038.82
306,181,20,Current,290758.26
307,290,13,Savings,925354.89
308,268,11,Current,511815.78
309,160,10,Current,496569.56
310,372,12,Savings,55586.08
311,114,20,Current,903894.19
312,213,6,Savings,502303.95
313,139,11,Savings,224494.85
314,28,12,Savings,569296.45
315,72,4,Savings,824854.66
316,375,1,Current,739518.72
317,485,20,Savings,901491.36
318,347,12,Savings,805779.76
319,409,16,Savings,411872.15
320,237,6,Savings,875196.57
321,173,11,Savings,286612.06
322,95,11,Savings,428172.97
323,330,18,Savings,692963.55
324,435,10,Savings,871142.83
325,46,16,Current,32758.01
326,359,18,Current,731135.79
327,91,18,Savings,468803.25
328,34,18,Current,324250.35
329,12,17,Savings,792755.3
330,440,9,Current,417990.5
331,207,13,Current,67642.99
332,7,18,Savings,33273.38
333,24,15,Current,637698.65
334,387,6,Current,953233.3
335,453,9,Current,71885.41
336,61,10,Current,226433.12
337,379,19,Current,49786.1
338,201,19,Savings,470630.98
339,293,5,Savings,964998.35
340,280,3,Current,536214.6
341,218,11,Savings,461580.27
342,227,14,Current,612366.1
343,435,14,Savings,485715.72
344,492,12,Savings,937352.97
345,237,1,Current,408673.52
346,474,7,Savings,90554.48
347,3,8,Current,681930.26
348,429,14,Savings,327832.0
349,366,13,Current,138936.66
350,94,14,Current,611507.32
351,128,20,Savings,820966.8
352,212,5,Current,359759.15
353,187,19,Savings,134341.77
354,480,17,Current,935886.67
355,352,19,Savings,994150.5
356,158,18,Current,347169.46
357,228,16,Current,589967.59
358,269,19,Current,319577.89
359,157,3,Savings,234203.71
360,365,18,Savings,763000.22
361,220,14,Current,543104.88
362,47,3,Savings,284676.4
363,6,15,Savings,294015.78
364,212,19,Current,911264.34
365,369,13,Savings,443962.31
366,407,10,Savings,970322.69
367,271,13,Savings,291965.29
368,78,2,Savings,181374.87
369,169,4,Current,376589.24
370,54,15,Current,523135.61
371,295,2,Savings,904284.74
372,356,20,Current,299297.23
373,308,1,Savings,626398.29
374,468,3,Current,422956.54
375,151,10,Savings,474064.1
376,128,14,Current,646159.36
377,148,17,Savings,864671.89
378,138,10,Current,482248.06
379,312,18,Savings,690497.72
380,367,8,Current,572506.21
381,449,8,Current,204488.23
382,1,18,Current,615290.03
383,429,8,Savings,542452.03
384,194,16,Savings,785867.9
385,447,20,Savings,163502.69
386,121,6,Savings,698830.12
387,278,9,Savings,82050.73
388,134,10,Savings,830196.16
389,53,16,Savings,921546.96
390,429,16,Savings,290463.37
391,265,16,Savings,649731.51
392,446,13,Current,75496.09
393,450,19,Savings,136643.5
394,288,18,Savings,833343.75
395,114,10,Current,643594.44
396,145,11,Savings,774309.98
397,59,5,Savings,597444.26
398,465,20,Current,643729.96
399,351,7,Savings,449231.0
400,83,10,Savings,704139.1
401,349,18,Current,593275.41
402,220,3,Savings,898847.53
403,268,3,Savings,652778.29
404,314,20,Current,951517.75
405,113,11,Current,364789.59
406,191,5,Current,140771.76
407,365,19,Savings,622264.41
408,477,20,Current,811428.61
409,30,3,Savings,713359.61
410,392,7,Current,592377.7
411,484,11,Current,234040.17
412,397,4,Current,661666.6
413,297,4,Current,772444.75
414,466,20,Current,937376.24
415,434,7,Current,422788.8
416,173,14,Savings,3115.02
417,20,6,Current,104911.12
418,181,19,Current,371761.07
419,421,11,Savings,961710.38
420,90,20,Savings,501651.43
421,78,2,Savings,570873.12
422,362,16,Current,678339.76
423,373,14,Current,559226.76
424,474,1,Savings,961352.84
425,105,5,Savings,587901.52
426,199,11,Current,390332.9
427,89,20,Savings,672814.09
428,491,20,Savings,907057.91
429,422,14,Current,240917.23
430,46,4,Current,755609.99
431,7,11,Savings,326308.21
432,459,6,Savings,120203.36
433,43,5,Savings,611835.44
434,464,9,Savings,851213.57
435,312,19,Current,885199.6
436,162,1,Current,679709.54
437,34,11,Current,582119.4
438,493,18,Current,615911.2
439,141,18,Savings,276835.73
440,413,18,Savings,625627.36
441,169,2,Savings,11297.55
442,263,6,Current,345075.8
443,428,1,Current,2793.46
444,286,19,Current,122016.69
445,354,11,Current,708642.08
446,116,13,Current,861279.08
447,371,5,Savings,110445.79
448,390,1,Savings,925461.97
449,231,13,Savings,964109.36
450,208,2,Current,983030.72
451,106,19,Current,421421.03
452,351,3,Current,535902.79
453,216,1,Current,830727.2
454,459,6,Savings,546644.39
455,321,10,Current,275798.83
456,339,2,Savings,962262.49
457,424,14,Current,225569.09
458,234,5,Current,937434.88
459,114,18,Savings,498078.4
460,361,1,Savings,300977.2
461,227,15,Current,9264.43
462,61,15,Current,863029.14
463,419,4,Savings,223380.72
464,163,12,Current,484977.67
465,181,16,Current,452551.0
466,135,9,Current,214855.0
467,322,2,Savings,246196.02
468,157,17,Current,410491.09
469,315,12,Current,616592.53
470,333,4,Current,793322.05
471,391,11,Current,728541.87
472,426,1,Savings,145385.55
473,247,1,Savings,395495.4
474,238,13,Savings,869034.47
475,259,10,Current,503414.86
476,79,15,Savings,639183.86
477,369,5,Current,554153.16
478,269,11,Current,972416.24
479,49,15,Current,119517.6
480,225,15,Savings,520419.5
481,484,1,Current,648545.13
482,387,17,Savings,54544.69
483,179,13,Savings,597809.81
484,189,1,Current,774865.45
485,337,4,Current,222866.45
486,37,9,Current,862866.7
487,84,17,Current,289729.18
488,373,17,Savings,371957.19
489,270,8,Savings,146065.11
490,360,6,Savings,98667.89
491,109,4,Savings,675246.06
492,160,7,Current,588700.68
493,253,10,Current,850480.66
494,478,9,Current,67608.92
495,28,12,Current,587690.0
496,234,14,Current,762624.05
497,214,20,Current,55885.12
498,52,3,Current,712953.84
499,160,2,Current,517632.94
500,48,9,Savings,388057.33
501,137,14,Current,668826.58
502,58,12,Current,375245.62
503,215,20,Savings,941333.71
504,417,10,Savings,478279.44
505,336,16,Current,196880.35
506,465,17,Savings,901841.19
507,437,1,Current,278609.14
508,40,2,Savings,640915.63
509,497,13,Current,509111.84
510,297,5,Savings,238071.15
511,259,16,Savings,743318.91
512,116,19,Current,350933.06
513,78,20,Current,716525.06
514,257,12,Savings,396062.16
515,199,5,Savings,399940.32
516,59,2,Current,867576.92
517,476,18,Current,612784.11
518,472,17,Current,231053.99
519,490,12,Savings,614136.86
520,43,13,Current,577319.34
521,222,11,Current,864606.09
522,358,18,Savings,494584.62
523,272,17,Current,290514.13
524,468,17,Current,127596.89
525,67,4,Savings,284628.32
526,26,16,Savings,636959.16
527,443,11,Savings,258292.81
528,249,6,Savings,712634.12
529,384,1,Savings,781504.78
530,151,1,Savings,84917.43
531,34,14,Current,298815.73
532,445,10,Current,145810.61
533,466,18,Current,303407.5
534,14,5,Savings,277071.4
535,201,16,Savings,475555.56
536,129,12,Current,689641.03
537,210,7,Current,275500.67
538,288,9,Current,928271.99
539,313,11,Savings,747330.03
540,184,8,Current,791208.46
541,236,19,Savings,176405.59
542,102,5,Current,997521.76
543,22,20,Current,781803.32
544,351,9,Savings,267428.99
545,385,6,Savings,109420.41
546,244,20,Current,977955.47
547,251,2,Current,763453.88
548,221,1,Current,670470.2
549,218,16,Current,520689.11
550,21,4,Savings,544148.69
551,449,10,Current,794696.9
552,351,10,Current,711909.04
553,307,9,Savings,35640.06
554,185,14,Current,625362.0
555,411,1,Current,934126.1
556,54,8,Current,199070.42
557,489,16,Current,698680.66
558,76,8,Current,343414.78
559,59,19,Savings,899493.3
560,461,10,Savings,320761.65
561,255,3,Current,198193.86
562,120,18,Current,375890.72
563,262,10,Current,268940.86
564,194,15,Current,618306.87
565,470,17,Savings,663490.24
566,452,4,Current,516278.34
567,127,6,Savings,596831.94
568,420,3,Savings,811312.23
569,425,5,Savings,129950.22
570,338,16,Current,365518.18
571,211,2,Current,323469.04
572,152,7,Savings,171565.58
573,474,20,Savings,14131.34
574,358,7,Current,233623.53
575,257,20,Current,554971.72
576,271,18,Current,235540.11
577,462,4,Current,77726.82
578,122,2,Savings,705561.93
579,332,9,Current,317115.16
580,13,6,Current,964118.3
581,223,13,Savings,196888.39
582,28,12,Current,47639.0
583,22,17,Savings,431553.2
584,212,8,Current,920718.05
585,282,17,Current,346218.76
586,300,2,Current,86086.26
587,262,16,Savings,313515.19
588,23,11,Savings,765295.54
589,68,7,Savings,621663.67
590,413,3,Current,174136.55
591,368,1,Current,64313.62
592,366,18,Current,943171.85
593,442,17,Current,819759.27
594,115,1,Current,932103.16
595,465,5,Savings,598143.1
596,222,16,Current,680921.62
597,475,16,Current,293615.05
598,290,7,Current,735777.13
599,350,2,Current,442310.83
600,7,19,Savings,651849.16
601,248,3,Savings,425940.89
602,95,13,Savings,59375.28
603,365,20,Current,929440.54
604,429,17,Current,10555.48
605,215,6,Current,181081.09
606,14,14,Current,341016.22
607,357,13,Current,394779.38
608,110,5,Current,987368.0
609,31,12,Savings,93091.09
610,172,8,Savings,576479.35
611,317,4,Current,203382.5
612,255,8,Current,473612.6
613,332,11,Current,691116.2
614,119,8,Current,233322.19
615,92,9,Current,342518.73
616,74,5,Savings,340029.01
617,217,19,Savings,142845.55
618,385,6,Current,252962.85
619,226,2,Savings,861563.16
620,473,19,Current,185172.96
621,232,19,Current,559934.92
622,102,19,Savings,302610.58
623,97,1,Savings,402257.99
624,273,16,Savings,212935.79
625,233,4,Current,624390.42
626,233,7,Savings,974011.55
627,174,20,Current,733181.78
628,484,1,Savings,268580.39
629,256,14,Current,736563.27
630,218,15,Savings,751805.75
631,346,12,Savings,546379.37
632,328,9,Current,531830.39
633,6,14,Savings,403502.97
634,54,15,Current,8564.78
635,340,7,Current,152991.68
636,189,17,Current,98483.98
637,427,3,Current,693998.86
638,16,16,Current,709159.96
639,223,9,Current,492022.28
640,353,9,Current,818400.84
641,287,9,Current,665056.28
642,30,10,Current,506178.67
643,70,14,Current,458190.62
644,206,5,Savings,542440.75
645,125,4,Current,717978.92
646,194,15,Current,341849.88
647,238,12,Savings,513012.08
648,349,1,Current,779006.4
649,224,17,Current,207243.01
650,24,20,Current,997151.14
651,133,1,Savings,440398.23
652,202,5,Current,722239.74
653,482,18,Current,878147.72
654,103,10,Savings,59832.32
655,76,17,Savings,114749.91
656,25,20,Current,712409.56
657,253,10,Savings,430875.83
658,94,14,Current,497562.63
659,77,7,Current,605534.1
660,198,7,Savings,475202.88
661,200,16,Current,412086.17
662,109,6,Current,727728.62
663,250,10,Current,191499.55
664,266,4,Savings,439264.31
665,295,8,Current,574283.43
666,412,20,Current,357253.01
667,52,15,Current,576438.92
668,137,8,Savings,852549.94
669,498,11,Savings,976371.16
670,228,13,Savings,547993.13
671,487,9,Current,980001.55
672,85,3,Current,789179.19
673,262,5,Current,40317.63
674,225,12,Savings,737704.42
675,313,10,Current,563440.59
676,448,20,Current,920480.65
677,283,7,Savings,315845.25
678,245,17,Current,348086.76
679,371,8,Current,834958.58
680,172,3,Current,79868.24
681,485,19,Current,83624.53
682,367,18,Current,106616.81
683,283,11,Savings,902959.67
684,126,2,Savings,465831.77
685,400,9,Current,99657.53
686,486,19,Current,993311.16
687,139,15,Savings,686681.56
688,146,13,Savings,18305.34
689,119,9,Current,906300.93
690,477,1,Current,138940.4
691,113,8,Savings,988710.63
692,176,20,Savings,726879.12
693,110,11,Savings,2242.64
694,454,15,Savings,329785.8
695,393,1,Savings,574093.93
696,205,15,Savings,747375.26
697,464,6,Current,949572.8
698,316,14,Savings,407066.16
699,148,10,Savings,312799.66
700,340,17,Savings,206590.4
701,99,12,Current,814058.32
702,438,20,Current,394826.36
703,300,18,Savings,613238.94
704,237,4,Current,76922.77
705,245,20,Savings,267312.98
706,37,18,Current,742483.06
707,383,4,Savings,923946.56
708,134,3,Savings,154236.37
709,101,9,Savings,538343.72
710,287,18,Current,372216.62
711,383,19,Savings,599239.63
712,263,4,Current,978220.95
713,171,13,Current,32730.67
714,106,11,Savings,418476.21
715,81,10,Savings,720372.43
716,354,12,Savings,256357.26
717,105,4,Current,189109.89
718,424,17,Current,110094.89
719,169,1,Savings,944798.49
720,276,16,Savings,831383.48
721,232,18,Current,442448.76
722,497,13,Savings,210857.41
723,221,11,Savings,296007.39
724,137,13,Current,493399.0
725,408,14,Savings,813800.21
726,75,15,Savings,404390.4
727,214,2,Savings,11108.48
728,177,5,Savings,336821.49
729,316,13,Savings,484687.12
730,29,1,Savings,499183.9
731,465,1,Current,146072.37
732,459,18,Savings,84453.47
733,99,15,Savings,909903.09
734,308,1,Current,785072.47
735,269,1,Current,277807.16
736,225,2,Savings,425466.71
737,37,14,Savings,573085.2
738,166,9,Current,643274.97
739,433,13,Savings,316082.15
740,371,4,Current,283665.85
741,147,14,Savings,289050.55
742,459,5,Current,14975.55
743,124,15,Savings,837675.16
744,271,8,Savings,137808.86
745,11,5,Current,790632.8
746,385,2,Current,184928.95
747,365,18,Savings,919066.85
748,106,13,Current,401947.22
749,418,4,Savings,277361.88
750,237,16,Savings,491600.96
751,170,4,Current,216148.53
752,286,12,Current,677777.39
753,264,20,Savings,192474.16
754,19,5,Savings,920197.58
755,291,19,Current,812925.25
756,74,16,Savings,133478.75
757,109,10,Current,401263.31
758,473,5,Current,645467.13
759,179,18,Current,63878.74
760,111,19,Current,294139.71
761,85,20,Savings,286452.75
762,59,16,Current,450042.97
763,210,16,Current,813096.07
764,466,16,Savings,311017.02
765,398,12,Current,303462.69
766,273,20,Current,782436.25
767,213,10,Current,247328.84
768,28,19,Savings,835828.04
769,425,8,Savings,208035.68
770,229,5,Current,999316.06
771,38,15,Savings,841525.06
772,110,3,Savings,842199.12
773,337,16,Current,154600.82
774,61,4,Savings,679210.13
775,273,5,Savings,119363.08
776,449,18,Current,779158.95
777,238,8,Current,24171.53
778,132,4,Current,174413.32
779,286,18,Current,344210.82
780,180,14,Current,896705.02
781,86,5,Savings,706021.69
782,229,12,Savings,855125.97
783,458,7,Savings,631223.44
784,395,15,Current,572878.62
785,279,2,Savings,680258.4
786,60,3,Current,716466.86
787,494,17,Current,375825.8
788,254,18,Current,333476.97
789,430,20,Current,466898.68
790,157,15,Current,115702.85
791,208,11,Savings,39456.34
792,92,19,Current,228075.06
793,173,20,Current,232409.18
794,260,5,Current,685879.01
795,183,19,Savings,473481.43
796,55,12,Current,297203.79
797,343,4,Savings,294311.47
798,485,11,Current,85144.36
799,56,12,Current,855374.87
800,497,19,Savings,103206.56
